Designator,Val,Package,MidX,MidY,Rot,Layer
C1,1uF,C_0603_1608Metric,71.55,-94.2,0,top
C2,1uF,C_0603_1608Metric,72.9,-101.1,0,top
C3,100nF,C_0603_1608Metric,72.9,-103.1,0,top
C4,100nF,C_0603_1608Metric,77.3,-111.8,180,top
C5,100nF,C_0603_1608Metric,95,-141.4,270,top
C6,470uF,CP_Elec_8x10.5,83,-93.5,0,top
C7,10uF,C_0603_1608Metric,92.8,-141.4,270,top
D1,1N4148W,D_SOD-123,71,-135,270,top
D2,SS14,D_SMA,69,-103,270,top
D3,LED_RED,LED_1206_3216Metric,82.4,-121,0,top
D4,LED_GREEN,LED_1206_3216Metric,82.4,-117,0,top
J3,USB_B_Micro,̪SB_JLC__SHOUHAN_microQTJ,73.5,-117,270,top
Q1,BC807,SOT-23,70.15,-81.6,270,top
Q2,BC807,SOT-23,69.9,-90.1,270,top
Q3,BC807,SOT-23,97,-83.3,0,top
Q4,MMBT3904,SOT-23,96.9,-87.5,180,top
R1,1k,R_0603_1608Metric,72.9,-90.85,90,top
R2,1R,R_0603_1608Metric,72.4,-85.35,90,top
R3,1R,R_0603_1608Metric,74.15,-85.35,90,top
R4,2.2k,R_0603_1608Metric,93,-86.3,0,top
R5,10k,R_0603_1608Metric,81.5,-100.5,0,top
R6,10k,R_0603_1608Metric,77.1,-104.9,180,top
R7,1k,R_0603_1608Metric,86.7875,-120.9,0,top
R8,1k,R_0603_1608Metric,87,-117,0,top
R9,1R,R_0603_1608Metric,74.15,-81.35,270,top
SW1,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,82.9,-107.8,270,top
SW2,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,95.7,-110.8,270,top
SW3,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,95.7,-97.5,270,top
U1,AP7365-33WG-7,SOT-23-5,71.4,-97.2,180,top
U2,ESP32-WROOM-32D,ESP32-WROOM-32,82,-134,180,top
